id,CUADERNO,FAMILIA,SUBFAMILIA,G?NERO Y AUTOR,G?NERO,SUBG?NERO,ESPECIE,AUTOR,ESPECIE_ACEPTADA,SIN?NIMO,GRUPO,SUBESPECIE,AUTOR_SUBESPECIE,NUM_EJEMPLARES,SEXO,OBRERA,T?GULA_MM,D?A,MES,A?O,LOCALIDAD,PROVINCIA,COLECTOR,DETERMINADOR,comentarios_adicionales,en_qu?_planta,dudas,respuestas,nidos,localidades?,COLECCI?N_DEP?SITO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,D,ANDRENIDAE,PANURGINAE,PANURGUS Panzer 1806,PANURGUS,NA,PEREZI,Saund,NA,NA,NA,NA,NA,1,h,NA,1.8,4,7,1984,"""Finca Zamadue?as""",Valladolid,E. Asensio,Asensio,NA,NA,NA,NA,NA,NA,I.T.A.C. y L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,D,ANDRENIDAE,PANURGINAE,PANURGUS Panzer 1806,PANURGUS,NA,PEREZI,Saund,NA,NA,NA,NA,NA,2,m,NA,2,1,7,1986,Padr?n,La Coru?a,E. Asensio,Asensio,NA,NA,NA,NA,NA,NA,I.T.A.C. y L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,D,ANDRENIDAE,PANURGINAE,PANURGUS Panzer 1806,PANURGUS,NA,PEREZI,Saund,NA,NA,NA,NA,NA,2,h,NA,1.8,1,7,1986,Padr?n,La Coru?a,E. Asensio,Asensio,NA,NA,NA,NA,NA,NA,I.T.A.C. y L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,D,ANDRENIDAE,PANURGINAE,PANURGUS Panzer 1806,PANURGUS,NA,PEREZI,Saund,NA,NA,NA,NA,NA,1,m,NA,1.9,15,6,1986,Pinar,Valladolid,E. Asensio,Asensio,NA,NA,NA,NA,NA,NA,I.T.A.C. y L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,D,ANDRENIDAE,PANURGINAE,PANURGINUS Nylander 1848,PANURGINUS,NA,ALBOPILOSUS,Luc,NA,PANURGUS BRULLEI ssp. ALBOPILOSUS Luc,NA,NA,NA,1,m,NA,0.7,9,5,1973,"""Camino Hondo"" Granja Escuela Jose Antonio",Valladolid,E. Asensio,Asensio,Panurginus albopilosus,NA,NA,NA,NA,NA,I.T.A.C. y L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,D,ANDRENIDAE,PANURGINAE,PANURGINUS Nylander 1848,PANURGINUS,NA,ALBOPILOSUS,Luc,NA,PANURGUS BRULLEI ssp. ALBOPILOSUS Luc,NA,NA,NA,22,m,NA,NA,23,5,1973,"""Camino Hondo"" Granja Escuela Jose Antonio",Valladolid,E. Asensio,Asensio,19 Panurginus albopilosus y Warncke det 3 conf ssp.,"En Brassica, apelotonados",NA,NA,NA,NA,"MICHENER, UNIVERSIDAD SALAMANCA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,D,ANDRENIDAE,PANURGINAE,PANURGINUS Nylander 1848,PANURGINUS,NA,ALBOPILOSUS,Luc,NA,PANURGUS BRULLEI ssp. ALBOPILOSUS Luc,NA,NA,NA,5,h,NA,NA,11,6,1973,Taller Granja Escuela Jose Antonio,Valladolid,E. Asensio,Asensio,"2 det Asensio, 3 det Warncke conf ssp. 1 a Michener. 1 Devolv? a Universidad Salamanca",En Brassica ,NA,NA,NA,NA,MICHENER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,D,ANDRENIDAE,PANURGINAE,PANURGINUS Nylander 1848,PANURGINUS,NA,ALBOPILOSUS,Luc,NA,PANURGUS BRULLEI ssp. ALBOPILOSUS Luc,NA,NA,NA,4,h,NA,NA,23,6,1973,Villab??ez,Valladolid,"E. Asensio, de To?o",Asensio,"3 det Asensio, 1 det Warncke conf ssp.",NA,NA,NA,NA,NA,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,D,ANDRENIDAE,PANURGINAE,PANURGINUS Nylander 1848,PANURGINUS,NA,ALBOPILOSUS,Luc,NA,PANURGUS BRULLEI ssp. ALBOPILOSUS Luc,NA,NA,NA,1,h,NA,0.7,24,6,1973,Villafuerte,Valladolid,"E. Asensio, de To?o",Asensio,Panurginus albopilosus,NA,NA,NA,NA,NA,I.T.A.C. y L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,D,ANDRENIDAE,PANURGINAE,PANURGINUS Nylander 1848,PANURGINUS,NA,ALBOPILOSUS,Luc,NA,PANURGUS BRULLEI ssp. ALBOPILOSUS Luc,NA,NA,NA,1,m,NA,0.8,12,6,1978,Trigueros,Valladolid,E. Asensio,Warncke,NA,NA,NA,NA,NA,NA,I.T.A.C. y L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,D,ANDRENIDAE,PANURGINAE,PANURGINUS Nylander 1848,PANURGINUS,NA,ALBOPILOSUS,Luc,NA,PANURGUS BRULLEI ssp. ALBOPILOSUS Luc,NA,NA,NA,1,h,NA,0.7,21,6,1978,Valladolid,Valladolid,E. Asensio,Warncke,NA,NA,NA,NA,NA,NA,I.T.A.C. y L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,D,ANDRENIDAE,PANURGINAE,PANURGINUS Nylander 1848,PANURGINUS,NA,ALBOPILOSUS,Luc,NA,PANURGUS BRULLEI ssp. ALBOPILOSUS Luc,NA,NA,NA,1,h,NA,0.7,30,6,1978,"""Finca Zamadue?as""",Valladolid,E. Asensio,Warncke,NA,NA,NA,NA,NA,NA,I.T.A.C. y L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,D,ANDRENIDAE,PANURGINAE,PANURGINUS Nylander 1848,PANURGINUS,NA,ALBOPILOSUS,Luc,NA,PANURGUS BRULLEI ssp. ALBOPILOSUS Luc,NA,NA,NA,2,h,NA,0.7,29 y 30,5,1979,"""Finca Zamadue?as""",Valladolid,E. Asensio,Warncke,NA,NA,NA,NA,NA,NA,I.T.A.C. y L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,D,ANDRENIDAE,PANURGINAE,PANURGINUS Nylander 1848,PANURGINUS,NA,ALBOPILOSUS,Luc,NA,PANURGUS BRULLEI ssp. ALBOPILOSUS Luc,NA,NA,NA,1,m,NA,NA,29 y 30,5,1979,"""Finca Zamadue?as""",Valladolid,E. Asensio,Warncke,A Michener,NA,NA,NA,NA,NA,MICHENER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,D,ANDRENIDAE,PANURGINAE,PANURGINUS Nylander 1848,PANURGINUS,NA,ALBOPILOSUS,Luc,NA,PANURGUS BRULLEI ssp. ALBOPILOSUS Luc,NA,NA,NA,1,m,NA,0.7,6,6,1982,?scar,Valladolid,E. Asensio,Warncke,NA,NA,NA,NA,NA,NA,I.T.A.C. y L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,D,ANDRENIDAE,PANURGINAE,PANURGINUS Nylander 1848,PANURGINUS,NA,ALBOPILOSUS,Luc,NA,PANURGUS BRULLEI ssp. ALBOPILOSUS Luc,NA,NA,NA,1,h,NA,0.7,27,5,1986,Osera,Zaragoza,E. Asensio,Asensio,NA,NA,NA,NA,NA,NA,I.T.A.C. y L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,D,ANDRENIDAE,PANURGINAE,PANURGINUS Nylander 1848,PANURGINUS,NA,ALBOPILOSUS,Luc,NA,PANURGUS BRULLEI ssp. ALBOPILOSUS Luc,NA,NA,NA,4,m,NA,NA,17,4,1985,Librilla,Murcia,E. Asensio,Asensio,NA,NA,NA,NA,NA,NA,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,D,ANDRENIDAE,PANURGINAE,PANURGINUS Nylander 1848,PANURGINUS,NA,ANNULATUS,Sichel,NA,PANURGUS BRULLEI ssp. ANNULATUS Sichel,NA,NA,NA,1,h,NA,NA,12,6,1971,Vi?as Granja Escuela Jose Antonio,Valladolid,E. Asensio,Warncke,NA,Compuesta amarilla,NA,NA,NA,NA,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,D,ANDRENIDAE,PANURGINAE,PANURGINUS Nylander 1848,PANURGINUS,NA,ANNULATUS,Sichel,NA,PANURGUS BRULLEI ssp. ANNULATUS Sichel,NA,NA,NA,1,h,NA,NA,19,6,1976,Villab??ez,Valladolid,E. Asensio,Warncke,NA,NA,NA,NA,NA,NA,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,ANDRENIDAE,PANURGINAE,PANURGINUS Nylander 1848,PANURGINUS,FLAVIPANURGUS,IBERICUS,Warncke,NA,NA,NA,NA,NA,1,h,NA,1,13-15,5,1976,Batuecas,Salamanca,E. Asensio,Warncke,NA,NA,NA,NA,NA,NA,I.T.A.C. y L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,ANDRENIDAE,PANURGINAE,PANURGINUS Nylander 1849,PANURGINUS,FLAVIPANURGUS,IBERICUS,Warncke,NA,NA,NA,NA,NA,1,m,NA,1,15,5,1980,Hinojosa,Salamanca,E. Asensio,L.O.Aguado,NA,NA,NA,NA,NA,NA,I.T.A.C. y L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,D,HALICTIDAE,HALICTINAE,DUFOUREA,DUFOUREA,(Dentirophites),GAULLEI ,Vachal,NA,ROPHITES GAULLEI Vachal,NA,NA,NA,3,h,NA,NA,16,5,1976,San Esteban de la Sierra,Salamanca,E. Asensio,Asensio,"Conf. Warncke, considera Rophiles. Retuvo 1. 1 a Ebmer 1985. 1 Devolv? a Universidad Salamanca",NA,NA,NA,NA,NA,"WARNCKE, EBMER,  UNIVERSIDAD SALAMANCA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,D,HALICTIDAE,HALICTINAE,DUFOUREA,DUFOUREA,(Dentirophites),GAULLEI ,Vachal,NA,ROPHITES GAULLEI Vachal,NA,NA,NA,1,m,NA,1,16,5,1976,San Esteban de la Sierra,Salamanca,E. Asensio,Asensio,Conf. Warncke,NA,NA,NA,NA,NA,L. O. AGUADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,D,HALICTIDAE,HALICTINAE,DUFOUREA,DUFOUREA,(Dentirophites),GAULLEI ,Vachal,NA,ROPHITES GAULLEI Vachal,NA,NA,NA,1,h,NA,1.2,4,6,1978,"""La Senovilla"" Olmedo",Valladolid,E. Asensio,Ebmer,sg. dentirophites,NA,NA,NA,NA,NA,L. O. AGUADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,D,HALICTIDAE,HALICTINAE,DUFOUREA,DUFOUREA,(Dentirophites),GAULLEI ,Vachal,NA,ROPHITES GAULLEI Vachal,NA,NA,NA,1,h,NA,NA,7,7,1983,Santa Eulalia de Tabara,Zamora,E. Asensio,Asensio,A Utah 1987,NA,NA,NA,NA,NA,UTAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,D,HALICTIDAE,HALICTINAE,DUFOUREA,DUFOUREA,(Dentirophites),GAULLEI ,Vachal,NA,ROPHITES GAULLEI Vachal,NA,NA,NA,1,m,NA,NA,8,7,1984,Mayalde,Zamora,S. Fdez. Gayubo (Univ. Salamanca) ,Asensio,devolv? a Univ. Salamanca,NA,NA,NA,NA,NA, UNIVERSIDAD SALAMANCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,D,HALICTIDAE,HALICTINAE,DUFOUREA,DUFOUREA,(Dentirophites),GAULLEI ,Vachal,NA,ROPHITES GAULLEI Vachal,NA,NA,NA,1,m,NA,NA,15,5,1978,Valdefuentes de S.C.,Salamanca,S. Fdez. Gayubo  (Univ. Salamanca),Ebmer,Conf. Ebmer,NA,NA,NA,NA,NA,I.T.A.C. y L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,D,HALICTIDAE,HALICTINAE,DUFOUREA,DUFOUREA,(Dentirophites),GAULLEI ,Vachal,NA,ROPHITES GAULLEI Vachal,NA,NA,NA,1,m,NA,NA,28,5,1978,Gilbuena,?vila,S. Fdez. Gayubo  (Univ. Salamanca),Ebmer,Conf. Ebmer. Devolv?,NA,NA,NA,NA,NA, UNIVERSIDAD SALAMANCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,D,HALICTIDAE,HALICTINAE,DUFOUREA,DUFOUREA,(Dentirophites),GAULLEI ,Vachal,NA,ROPHITES GAULLEI Vachal,NA,NA,NA,1,m,NA,NA,20,6,1985,Jerez de los C.,Badajoz,S. Fdez. Gayubo  (Univ. Salamanca),Asensio,A Utah 1987,NA,NA,NA,NA,NA,I.T.A.C. y L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,D,HALICTIDAE,HALICTINAE,DUFOUREA,DUFOUREA,(Dentirophites),GAULLEI ,Vachal,NA,ROPHITES GAULLEI Vachal,NA,NA,NA,1,m,NA,1,2,6,1980,La Maya,Salamanca,E. Asensio,Asensio,NA,NA,NA,NA,NA,NA,L. O. AGUADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,D,HALICTIDAE,HALICTINAE,DUFOUREA,DUFOUREA,NA,MINUTA,Lepeletier,MINUTUS ,ROPHITES MINUTUS Lepeletier,NA,NA,NA,1,h,NA,NA,27,5,1976,El Pinar,Valladolid,E. Asensio,Warncke,Rophites,NA,NA,NA,NA,NA,I.T.A.C. y L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,D,HALICTIDAE,HALICTINAE,DUFOUREA,DUFOUREA,NA,MINUTA,Lepeletier,MINUTUS ,ROPHITES MINUTUS Lepeletier,NA,NA,NA,1,m,NA,0.8,27,5,1976,El Pinar,Valladolid,E. Asensio,Warncke,Rophites,NA,NA,NA,NA,NA,L. O. AGUADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,D,HALICTIDAE,HALICTINAE,DUFOUREA,DUFOUREA,NA,MINUTA,Lepeletier,MINUTUS ,ROPHITES MINUTUS Lepeletier,NA,NA,NA,1,h,NA,NA,4,6,1979,El Pinar,Valladolid,E. Asensio,Ebmer,devolv? a Univ. Salamanca,NA,NA,NA,NA,NA, UNIVERSIDAD SALAMANCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,D,HALICTIDAE,HALICTINAE,DUFOUREA,DUFOUREA,NA,MINUTA,Lepeletier,MINUTUS ,ROPHITES MINUTUS Lepeletier,NA,NA,NA,1,m,NA,NA,4,6,1979,El Pinar,Valladolid,E. Asensio,Ebmer,NA,NA,NA,NA,NA,NA,I.T.A.C. y L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,D,HALICTIDAE,HALICTINAE,DUFOUREA,DUFOUREA,NA,MINUTA,Lepeletier,MINUTUS ,ROPHITES MINUTUS Lepeletier,NA,NA,NA,1,m,NA,NA,24,6,1984,Guisando,?vila,E. Asensio,Asensio,devolv? a Univ. Salamanca,NA,NA,NA,NA,NA, UNIVERSIDAD SALAMANCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,D,HALICTIDAE,HALICTINAE,DUFOUREA,DUFOUREA,NA,HALICTULA,Nylander,NA,ROPHITES MINUTUS Lepeletier,NA,NA,NA,1,h,NA,1.2,27,5,1976,El Pinar,Valladolid,E. Asensio,Warncke,especie redeterminada por L.O.Aguado,NA,NA,NA,NA,NA,L. O. AGUADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,D,HALICTIDAE,HALICTINAE,DUFOUREA,DUFOUREA,(Halictoides),PARADOXA,NA,NA,NA,NA,ssp. MESEMBRIA ,Ebmer 1979,1,m,NA,2,NA,8,1989,Sierra Nevada,Granada,J .M? G?mez (Univ. Granada),Asensio,3130 m,NA,NA,NA,NA,NA,L. O. AGUADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,D,HALICTIDAE,HALICTINAE,DUFOUREA,DUFOUREA,NA,TRAUTMANNI,Dusmet,NA,NA,NA,NA,NA,1,h,NA,NA,25,4,1980,La Fregeneda,Salamanca,S. Fdez. Gayubo  (Univ. Salamanca),Asensio,devolv? a Univ. Salamanca,NA,NA,NA,NA,NA,I.T.A.C. y L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,HALICTIDAE,HALICTINAE,DUFOUREA,DUFOUREA,NA,TRAUTMANNI,Dusmet,NA,NA,NA,NA,NA,1,h,NA,1,10,5,1984,Pastrana,Guadalajara,E. Asensio,Warncke,Con g?nero Rophites,NA,NA,NA,NA,NA,L. O. AGUADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,HALICTIDAE,ROPHITINAE,NOMIOIDES,NOMIOIDES,NA,VARIEGATUS,Olivier,NA,NA,NA,NA,NA,1,m ,NA,0.3,3,9,86,Vecinos,Salamanca,E. Asensio,L. O. Aguado,NA,NA,NA,NA,NA,NA,L. O. AGUADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,HALICTIDAE,ROPHITINAE,NOMIOIDES,NOMIOIDES,NA,VARIEGATUS,Olivier,NA,NA,NA,NA,NA,1,h,NA,1,3,9,86,Vecinos,Salamanca,E. Asensio,L. O. Aguado,NA,NA,NA,NA,NA,NA,L. O. AGUADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,HALICTIDAE,ROPHITINAE,NOMIOIDES,NOMIOIDES,NA,MINUTISSIMUS,Rossi,NA,NA,NA,NA,NA,2,m,NA,0.5,19,7,75,Mojados,Valladolid,E. Asensio,Warncke,NA,NA,NA,NA,NA,NA,L. O. AGUADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,HALICTIDAE,ROPHITINAE,NOMIOIDES,NOMIOIDES,NA,MINUTISSIMUS,Rossi,NA,NA,NA,NA,NA,1,h,NA,0.7,19,7,75,Mojados,Valladolid,E. Asensio,Warncke,NA,NA,NA,NA,NA,NA,L. O. AGUADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,D,ANDRENIDAE,PANURGINAE,CAMPTOPAEUM,CAMPTOPAEUM,NA,FRIESEI,Mocsary,NA,NA,NA,NA,NA,1,m,NA,1.4,10,7,1983,Toro,Zamora,S. Fdez. Gayubo  (Univ. Salamanca),Asensio,NA,NA,NA,NA,NA,NA,I.T.A.C. y L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,D,ANDRENIDAE,PANURGINAE,CAMPTOPAEUM,CAMPTOPAEUM,NA,IBERICUM,Warncke,NA,PANURGUS IBERICUS Warncke,NA,Panurginus Epimethea??,NA,3,h,NA,NA,13-15,5,1976,Batuecas,Salamanca,E. Asensio,Warncke,retuvo. 2 h n ssp? Pannurgus,NA,NA,NA,NA,NA,WARNCKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,ANDRENIDAE,PANURGINAE,CAMPTOPAEUM,CAMPTOPAEUM,NA,IBERICUM,Warncke,NA,PANURGUS IBERICUS Warncke,NA,Panurginus Epimethea??,NA,1,h,NA,1.2,13-15,5,1976,Batuecas,Salamanca,E. Asensio,Warncke,NA,NA,NA,NA,NA,NA,L. O. AGUADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,D,ANDRENIDAE,PANURGINAE,CAMPTOPAEUM,CAMPTOPAEUM,NA,IBERICUM,Warncke,NA,PANURGUS IBERICUS Warncke,NA,Panurginus Epimethea??,NA,3,m,NA,NA,13-15,5,1976,Batuecas,Salamanca,E. Asensio,Warncke,retuvo. 2 h n ssp? Pannurgus,NA,NA,NA,NA,NA,WARNCKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,D,ANDRENIDAE,PANURGINAE,CAMPTOPAEUM,CAMPTOPAEUM,NA,IBERICUM,Warncke,NA,PANURGUS IBERICUS Warncke,NA,Panurginus Epimethea??,NA,1,m,NA,NA,15,5,1980,Hinojosa de D.,Salamanca,S. Fdez. Gayubo  (Univ. Salamanca),Asensio,NA,NA,NA,NA,NA,NA,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,D,ANDRENIDAE,MELITTURGINAE,MELITTURGA Latreille 1809,MELITTURGA,NA,CAUDATA,P?rez,NA,NA,NA,NA,NA,2,h,NA,3.8,27,5,1986,Osera,Zaragoza,E. Asensio,Asensio,1 Conf. Warncke,NA,NA,NA,NA,NA,I.T.A.C. y L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,D,ANDRENIDAE,MELITTURGINAE,MELITTURGA Latreille 1809,MELITTURGA,NA,CAUDATA,P?rez,NA,NA,NA,NA,NA,1,m,NA,5.5,17,4,1985,Librilla,Murcia,E. Asensio,Asensio,NA,NA,NA,NA,NA,NA,I.T.A.C. y L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,D,ANDRENIDAE,MELITTURGINAE,MELITTURGA Latreille 1809,MELITTURGA,NA,CAUDATA,P?rez,NA,NA,NA,NA,NA,1,m,NA,NA,NA,NA,NA,Puenteduero,Valladolid,E. Asensio,Asensio,NA,NA,NA,NA,NA,NA,I.T.A.C. y L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
