id,CUADERNO,FAMILIA,SUBFAMILIA,G?NERO Y AUTOR,G?NERO,SUBG?NERO,ESPECIE,AUTOR,ESPECIE_ACEPTADA,SIN?NIMO,GRUPO,SUBESPECIE,AUTOR_SUBESPECIE,NUM_EJEMPLARES,SEXO,OBRERA,T?GULA_MM,D?A,MES,A?O,LOCALIDAD,PROVINCIA,COLECTOR,DETERMINADOR,comentarios_adicionales,en_qu?_planta,dudas,respuestas,nidos,localidades?,COLECCI?N_DEP?SITO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,D,MEGACHILIDAE,MEGACHILINAE,HERIADES Spinola 1808,HERIADES,NA,CRENULATUS,Nylander,NA,NA,NA,NA,NA,1,h,NA,1.2,NA,NA,1980,Toro,Zamora,E. Asensio,Van Der Zanden,nidos,NA,NA,NA,NA,NA,I.T.A.C. y L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,D,MEGACHILIDAE,MEGACHILINAE,HERIADES Spinola 1808,HERIADES,NA,CRENULATUS,Nylander,NA,NA,NA,NA,NA,1,m,NA,1,NA,NA,1980,Valladolid,Valladolid,E. Asensio,Van Der Zanden,nidos,NA,NA,NA,NA,NA,UNIVERSIDAD DE SALAMANCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,D,MEGACHILIDAE,MEGACHILINAE,HERIADES Spinola 1808,HERIADES,NA,CRENULATUS,Nylander,NA,NA,NA,NA,NA,1,m,NA,1,29,6,1982,Toro,Zamora,E. Asensio,Van Der Zanden,NA,NA,NA,NA,NA,NA,I.T.A.C. y L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,D,MEGACHILIDAE,MEGACHILINAE,HERIADES Spinola 1808,HERIADES,NA,CRENULATUS,Nylander,NA,NA,NA,NA,NA,1,m,NA,NA,9,7,1983,San Miguel del Arroyo,Valladolid,E. Asensio,Asensio,NA,NA,NA,NA,NA,NA,I.T.A.C. y L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,D,MEGACHILIDAE,MEGACHILINAE,HERIADES Spinola 1808,HERIADES,NA,CRENULATUS,Nylander,NA,NA,NA,NA,NA,1,h,NA,1.3,NA,NA,1983,Toro,Zamora,E. Asensio,Van Der Zanden,Estaquillas,NA,n?2,NA,NA,NA,I.T.A.C. y L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,D,MEGACHILIDAE,MEGACHILINAE,HERIADES Spinola 1808,HERIADES,NA,CRENULATUS,Nylander,NA,NA,NA,NA,NA,1,h,NA,1.2,NA,NA,1985,"""Finca Zamadue?as""",Valladolid,E. Asensio,Asensio,nidos,NA,NA,NA,NA,NA,I.T.A.C. y L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,D,MEGACHILIDAE,MEGACHILINAE,HERIADES Spinola 1808,HERIADES,NA,CRENULATUS,Nylander,NA,NA,NA,NA,NA,1,h,NA,NA,8,7,1986,Toro,Zamora,E. Asensio,Asensio,NA,NA,NA,NA,NA,NA,I.T.A.C. y L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,D,MEGACHILIDAE,MEGACHILINAE,HERIADES Spinola 1808,HERIADES,NA,CRENULATUS,Nylander,NA,NA,NA,NA,NA,1,h,NA,1.3,NA,NA,1986,Monegros (2),Zaragoza,E. Asensio,Asensio,Estaquillas,NA,NA,NA,NA,NA,I.T.A.C. y L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,D,MEGACHILIDAE,MEGACHILINAE,HERIADES Spinola 1808,HERIADES,NA,MAROCCANA,Benoist,NA,NA,NA,NA,NA,1,m,NA,NA,15,6,1981,Cantalejo,Segovia,E. Asensio,Van Der Zanden,aff. H.maroccana y retuvo,NA,NA,NA,NA,NA,VAN DER ZANDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,D,MEGACHILIDAE,MEGACHILINAE,HERIADES Spinola 1808,HERIADES,NA,RUBICOLA,P?rez,NA,NA,NA,NA,NA,2,h,NA,0.5,2,7,1982,Corchuela,Toledo,E. Asensio,Van Der Zanden,NA,NA,NA,NA,NA,NA,D. P?REZ CARDENAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
