,Var1,Freq,Locality,Lat ,Long ,"Precision(site, city, natural park, etc…)",,,
972,Ribadelago,1,,,,,,,
973,rio Ardila,,,,,,,,
974,Riofr?o,1,,,,,,,
975,Riofrio,1,,,,,,,
976,Rokytno,1,,,,,,,
977,Roturas,1,,,,,,,
978,S Chalus 1600m,,,,,,,,
979,S Pedro de las Due?as,1,,,,,,,
980,S.  Jaume  F.,1,,,,,,,
981,S. Glorio,1,,,,,,,
982,S. Jaume,1,,,,,,,
983,S. Jaume Frontany?,1,,,,,,,
984,S. Miguel de Bernuy,1,,,,,,,
985,S.Esteban de Gormaz,1,,,,,,,
986,S.Martin de Quevedo,1,,,,,,,
987,S.Pedro de las Due?as,1,,,,,,,
988,S.Vicente del R.,1,,,,,,,
989,Salda?a ,1,,,,,,,
990,Samarkand,1,,,,,,,
991,San Esteban de Gormaz,1,,,,,,,
992,San Jose,1,,,,,,,
993,San Juan del R?o,1,,,,,,,
994,San Mart?n del Pimpollar,1,,,,,,,
995,San Miguel de Valero,1,,,,,,,
996,San Miguel del Arroyo,1,,,,,,,
997,San Pedro de la Due?as,1,,,,,,,
998,San Roque,1,,,,,,,
999,San Torcuato,1,,,,,,,
1000,San Vicente de la Barquera,1,,,,,,,
1001,Sanchotello,1,,,,,,,
1002,Sanctiespiritu,1,,,,,,,
1003,Sando,,,,,,,,
1004,Sanjuanejo,1,,,,,,,
1005,Santa Mar?a,1,,,,,,,
1006,Santiba?ez de Valcorba,1,,,,,,,
1007,Sard?n de Duero,1,,,,,,,
1008,Sardon,1,,,,,,,
1009,Sasam?n,1,,,,,,,
1010,Sazad?n,,,,,,,,
1011,Sevilla,1,,,,,,,
1012,Sierra de Filabres,1,,,,,,,
1013,Sierra de Gata,1,,,,,,,
1014,Sierra Mar?a,1,,,,,,,
1015,Silves,,,,,,,,
1016,Slivenec,1,,,,,,,
1017,Sorihuela,1,,,,,,,
1018,Soto de la Marina,1,,,,,,,
1019,Sotoserranao,1,,,,,,,
1020,Sta Engracia,1,,,,,,,
1021,Sta. Maria,1,,,,,,,
1022,Stratov,1,,,,,,,
1023,Sut?w pow. Milicz,1,,,,,,,
1024,T?bara,1,,,,,,,
1025,Tabara(Sazad?n),1,,,,,,,
1026,Tafira,1,,,,,,,
1027,Tafira Alta ,1,,,,,,,
1028,Tafisa,1,,,,,,,
1029,Talayuela,1,,,,,,,
1030,taller en Granja Escuela Jose Antonio,1,,,,,,,
1031,taller,,,,,,,,
1032,Tapia Casariego,1,,,,,,,
1033,Tar I,1,,,,,,,
1034,Tehran,,,,,,,,
1035,Tejares,1,,,,,,,
1036,Telde,1,,,,,,,
1037,Termini,1,,,,,,,
1038,Terrassa,1,,,,,,,
1039,Tibi,1,,,,,,,
1040,Tierra de Campos (Cuenca-Tamariz),1,,,,,,,
1041,Tierra de Campos(Cuenca-Tamariz),1,,,,,,,
1042,Tiro S.Isidro,1,,,,,,,
1043,Tk-Afri,,,,,,,,
1044,Tk-Alanya,1,,,,,,,
1045,Tk-Hakkar,,,,,,,,
1046,Tornillos Gualay,,,,,,,,
1047,Torre de Pe?afiel,1,,,,,,,
1048,Torrecilla de los Angeles,1,,,,,,,
1049,Torrej?n el Rubio,1,,,,,,,
1050,Torrelavega,1,,,,,,,
1051,Tossa de Mar,1,,,,,,,
1052,Trabazos,1,,,,,,,
1053,traspinedo,1,,,,,,,
1054,Traspinedo(casa R. L?pez),1,,,,,,,
1055,Trebinje,,,,,,,,
1056,V?lez Benaudalla,1,,,,,,,
1057,V. Chuchle ,1,,,,,,,
1058,Vadocondes,1,,,,,,,
1059,Val de San Lorenzo,1,,,,,,,
1060,Val de Santa Mar?a ,1,,,,,,,
1061,Val de Santa Mar?a y Viana del Bollo,1,,,,,,,
1062,Val de Sta. Maria,1,,,,,,,
1063,Valdeande,1,,,,,,,
1064,Valdearcos,1,,,,,,,
1065,Valdefuentes de S.C.,1,,,,,,,
1066,Valdeteja,1,,,,,,,
1067,Valencia del C.,1,,,,,,,
1068,Valenzuela de Calatrava,1,,,,,,,
1069,Valle de Cerrato,1,,,,,,,
1070,Valle Ordesa,1,,,,,,,
1071,Vallelado,1,,,,,,,
1072,Vallespinoso de Aguilar,1,,,,,,,
1073,Valoria de alcor,1,,,,,,,
1074,Valsain,1,,,,,,,
1075,Valverd?n,1,,,,,,,
1076,Valverde de Legan?s,1,,,,,,,
1077,Valverde de Legan?s ,1,,,,,,,
1078,Vi?as Granja Escuela Jose Antonio,1,,,,,,,
1079,Viana del Bollo,1,,,,,,,
1080,Vidova/Plesivec,1,,,,,,,
1081,Viella,1,,,,,,,
1082,Villacast?n,1,,,,,,,
1083,Villadiegua de la Ribera,1,,,,,,,
1084,Villadiezma,1,,,,,,,
1085,Villafranca,1,,,,,,,
1086,Villaharta,1,,,,,,,
1087,Villajimena,1,,,,,,,
1088,Villajimeno,1,,,,,,,
1089,Villamar,1,,,,,,,
1090,Villambroz,1,,,,,,,
1091,Villamor,1,,,,,,,
1092,Villamor Escuderos,1,,,,,,,
1093,Villanu?o de Valdavia,1,,,,,,,
1094,Villanubla,1,,,,,,,
1095,Villanueva de herrera,1,,,,,,,
1096,"Villanueva de los Castillejos""La Gozala""",1,,,,,,,
1097,Villanueva del R?o,1,,,,,,,
1098,Villardiegua de la Ribera,1,,,,,,,
1099,Villarino de los Aires,1,,,,,,,
1100,Villarroya de la Sierra,1,,,,,,,
1101,Villavente,1,,,,,,,
1102,Villavieja del Cerro,1,,,,,,,
1103,Villotillo,1,,,,,,,
1104,Vilviestre del Pinar,1,,,,,,,
1105,Walding,1,,,,,,,
1106,Weiden am See,,,,,,,,
1107,Wien,,,,,,,,
1108,Wien: Albern,1,,,,,,,
1109,Zadar,,,,,,,,
1110,Zafron,1,,,,,,,
1111,Zarza de Mot?nchez,1,,,,,,,
1112,Zarza la Mayor,1,,,,,,,
