"locality","gen_sp","freq","when"
"auditorio_Delibes","Nomada_melathoracica",1,"asensio"
"auditorio_Delibes","Anthophora_atroalba",2,"asensio"
"auditorio_Delibes","Andrena_nebularia",1,"asensio"
"auditorio_Delibes","Nomada_sexfasciata",1,"asensio"
"auditorio_Delibes","Nomada_agrestis",1,"asensio"
"auditorio_Delibes","Anthophora_leucophaea",1,"asensio"
"auditorio_Delibes","Eucera_clypeata",1,"asensio"
"auditorio_Delibes","Anthophora_fulvitarsis",2,"asensio"
"auditorio_Delibes","Melecta_punctata",1,"asensio"
"auditorio_Delibes","Melecta_punctata",1,"asensio"
"auditorio_Delibes","Andrena_ovatula",1,"asensio"
"auditorio_Delibes","Melecta_punctata",1,"asensio"
"auditorio_Delibes","Anthophora_atroalba",9,"asensio"
"auditorio_Delibes","Anthophora_biciliata",1,"asensio"
"auditorio_Delibes","Anthophora_fulvitarsis",2,"asensio"
"auditorio_Delibes","Andrena_fabrella",1,"asensio"
"auditorio_Delibes","Andrena_limbata",1,"asensio"
"auditorio_Delibes","Andrena_spreta",1,"asensio"
"auditorio_Delibes","Andrena_ferrugineicrus",1,"asensio"
"auditorio_Delibes","Nomada_agrestis",1,"asensio"
"auditorio_Delibes","Anthophora_atroalba",1,"asensio"
"auditorio_Delibes","Nomada_agrestis",1,"asensio"
"auditorio_Delibes","Anthophora_fulvitarsis",1,"asensio"
"auditorio_Delibes","Anthophora_sp b",3,"asensio"
"auditorio_Delibes","Andrena_fabrella",1,"asensio"
"auditorio_Delibes","Andrena_flavipes",1,"asensio"
"auditorio_Delibes","Anthophora_atroalba",9,"asensio"
"auditorio_Delibes","Nomada_melathoracica",1,"asensio"
"auditorio_Delibes","Nomada_rhenana",1,"asensio"
"zamaduenas","Anthophora_atroalba",1,"asensio"
"zamaduenas","Anthophora_atroalba",1,"asensio"
"auditorio_Delibes","Coelioxys_afra",1,"asensio"
"auditorio_Delibes","Andrena_spreta",2,"asensio"
"auditorio_Delibes","Andrena_flavipes",1,"asensio"
"auditorio_Delibes","Andrena_medeninensis",1,"asensio"
"auditorio_Delibes","Andrena_spreta",1,"asensio"
"auditorio_Delibes","Eucera_trivittata",2,"asensio"
"auditorio_Delibes","Eucera_nigrilabris",4,"asensio"
"auditorio_Delibes","Andrena_schencki",1,"asensio"
"auditorio_Delibes","Andrena_ovatula",2,"asensio"
"toro","Biastes_brevicornis",1,"asensio"
"toro","Ammobates_punctatus",1,"asensio"
"toro","Biastes_brevicornis",2,"asensio"
"toro","Biastes_brevicornis",1,"asensio"
"toro","Epeolus_cruciger",1,"asensio"
"vilalba","Eucera_nigrifacies",2,"asensio"
"vilalba","Andrena_pandosa",1,"asensio"
"vilalba","Andrena_carbonaria",1,"asensio"
"vilalba","Andrena_pandosa",1,"asensio"
"vilalba","Eucera_tuberculata",4,"asensio"
"vilalba","Andrena_ovatula",1,"asensio"
"vilalba","Andrena_carbonaria",1,"asensio"
"vilalba","Andrena_nitida",1,"asensio"
