"","country","apidaepre1980","andrenidaepre1980","halictidaepre1980","colletidaepre1980","megachilidaepre1980","stenotritidaepre1980","melittidaepre1980","apidaepost1980","andrenidaepost1980","halictidaepost1980","colletidaepost1980","megachilidaepost1980","stenotritidaepost1980","melittidaepost1980","V16","post1980","pre1980"
"1","AD",9,3,0,0,0,4,0,0,3,0,0,0,4,0,0,16,7
"2","AE",10,0,369,369,0,4,0,0,0,369,369,0,4,0,0,752,742
"3","AF",117,44,167,167,31,97,0,5,44,167,167,31,97,0,5,623,511
"4","AG",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"5","AI",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"6","AL",4,0,0,0,0,3,0,0,0,0,0,0,3,0,0,7,3
"7","AM",45,64,80,80,99,88,0,2,64,80,80,99,88,0,2,456,413
"8","AO",728,0,12,12,0,42,0,0,0,12,12,0,42,0,0,794,66
"9","AQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","AR",8671,1566,16816,16816,2002,1136,0,0,1566,16816,16816,2002,1136,0,0,47007,38336
"11","AS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","AT",3307,2516,1590,1590,119,1292,0,115,2516,1590,1590,119,1292,0,115,10414,7222
"13","AU",22029,4,77088,77088,73061,16722,655,0,4,77088,77088,73061,16722,655,0,266647,244618
"14","AW",1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1
"15","AX",18,21,20,20,56,65,0,0,21,20,20,56,65,0,0,200,182
"16","AZ",5,5,10,10,40,12,0,0,5,10,10,40,12,0,0,82,77
"17","BA",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"18","BB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","BD",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"20","BE",5883,246,23445,23445,46,135,0,27,246,23445,23445,46,135,0,27,53200,47344
"21","BF",6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,7,1
"22","BG",120,43,45,45,122,59,0,126,43,45,45,122,59,0,126,434,440
"23","BH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","BI",47,0,0,0,0,10,0,0,0,0,0,0,10,0,0,57,10
"25","BJ",360,0,618,618,26,13,0,0,0,618,618,26,13,0,0,1635,1275
"26","BL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"27","BM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","BN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","BO",4971,29,764,764,609,991,0,0,29,764,764,609,991,0,0,8128,3157
"30","BQ",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"31","BR",117707,2211,12693,12693,1993,11629,0,0,2211,12693,12693,1993,11629,0,0,158926,41219
"32","BS",20,0,82,82,33,26,0,0,0,82,82,33,26,0,0,243,223
"33","BT",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
"34","BV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","BW",114,2,17,17,0,38,0,0,2,17,17,0,38,0,0,188,74
"36","BY",15,2,27,27,2,1,0,0,2,27,27,2,1,0,0,74,59
"37","BZ",267,0,49,49,2,6,0,0,0,49,49,2,6,0,0,373,106
"38","CA",42086,7187,20720,20720,3770,4599,0,8,7187,20720,20720,3770,4599,0,8,99082,57004
"39","CC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","CD",122,0,28,28,1,158,0,0,0,28,28,1,158,0,0,337,215
"41","CF",58,0,6,6,0,43,0,0,0,6,6,0,43,0,0,113,55
"42","CG",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"43","CH",29848,57,91,91,42,91,0,1,57,91,91,42,91,0,1,30220,373
"44","CI",8,0,0,0,0,3,0,0,0,0,0,0,3,0,0,11,3
"45","CK",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"46","CL",1981,741,468,468,693,1429,0,0,741,468,468,693,1429,0,0,5780,3799
"47","CM",32,0,10,10,0,27,0,0,0,10,10,0,27,0,0,79,47
"48","CN",1380,9,75,75,30,178,0,2,9,75,75,30,178,0,2,1747,369
"49","CO",2665,24,697,697,71,84,0,1,24,697,697,71,84,0,1,4238,1574
"50","CR",52328,381,14697,14697,2661,5232,0,0,381,14697,14697,2661,5232,0,0,89996,37668
"51","CU",585,0,2738,2738,19,217,0,0,0,2738,2738,19,217,0,0,6297,5712
