Accession No,Barcode,Order,Family,species,species_old,Preferred_Name,locality,collector,date_origional,date_mod,day,month,month_chr,year,date_chr,date,Determiner,Specimen Type,collection,method
NZAC04096341,NZAC04096341,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Queenstown,W.G. Howes,16.12.1919,11.12.2329,16,12,December,1919,16/December/1919,16/12/1919,B.J. Donovan,Pin,NZAC,no_data
NZAC04096319,NZAC04096319,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",,Ben Loniond,18.12.1919,11.12.2437,18,12,December,1919,18/December/1919,18/12/1919,B.J. Donovan,Pin,NZAC,no_data
NZAC04096405,NZAC04096405,Hymenoptera,Colletidae,Leioproctus boltoni,Leioproctus boltoni,"Leioproctus (Leioproctus) boltoni Cockerell, 1904",Morowal [Muriwai?],,11/01/1919,11/01/1919,11,1,January,1919,11/January/1919,11/01/1919,B.J. Donovan,Pin,NZAC,no_data
NZAC04096398,NZAC04096398,Hymenoptera,Colletidae,Leioproctus huakiwi,Leioproctus huakiwi,"Leioproctus (Leioproctus) huakiwi Donovan, 2007",Otira,,12/03/1919,12/03/1919,12,3,March,1919,12/March/1919,12/03/1919,BJ Donovan,Pin,NZAC,no_data
NZAC04096249,NZAC04096249,Hymenoptera,Colletidae,Hylaeus capitosus,Hyleoides capitosus,Hyleoides,"Port Hills, Puke Atua Bush",E.S. Gourlay,5/02/1920,5/02/1920,5,2,February,1920,5/February/1920,5/02/1920,,Pin,NZAC,no_data
NZAC04096216,NZAC04096216,Hymenoptera,Halictidae,Lasioglossum maunga,Lasioglossum maunga,"Lasioglossum (Austrevylaeus) maunga Donovan, 2007",Dun Mt,A. Philpott,15/11/1920,15/11/1920,15,11,November,1920,15/November/1920,15/11/1920,,Pin,NZAC,no_data
NZAC04096287,NZAC04096287,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Waimarino, Ohakune",J.W. Campbell,10.01.1920,10.01.20,10,1,January,1920,10/January/1920,10/01/1920,B.J. Donovan,Pin,NZAC,no_data
NZAC04096255,NZAC04096255,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Ohakune,J.W. Campbell,10.01.1920,10.01.20,10,1,January,1920,10/January/1920,10/01/1920,B.J. Donovan,Pin,NZAC,no_data
NZAC04096226,NZAC04096226,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Christchurch, Dallington",E.S. Gourlay,16.05.1920,11.12.2309,16,5,May,1920,16/May/1920,16/05/1920,B.J. Donovan,Pin,NZAC,no_data
NZAC04096190,NZAC04096190,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Christchurch, Dallington",E.S. Gourlay,23.11.1920,11.12.2664,23,11,November,1920,23/November/1920,23/11/1920,B.J. Donovan,Pin,NZAC,no_data
