Accession No,Barcode,Order,Family,species,species_old,Preferred_Name,locality,collector,date_origional,date_mod,day,month,month_chr,year,date_chr,date,Determiner,Specimen Type,collection,method
NZAC04100236,NZAC04100236,Hymenoptera,Apidae,Bombus terrestris,Bombus terrestris (Linnaeus),"Bombus (Bombus) terrestris (Linnaeus, 1758)",Bushey,L Gurr,15.11.53,11.12.2293,15,11,November,1953,15/November/1953,15/11/1953,,Pin,NZAC,no_data
NZAC04094611,NZAC04094611,Hymenoptera,Halictidae,Lasioglossum maunga,Lasioglossum maunga,"Lasioglossum (Austrevylaeus) maunga Donovan, 2007",Takaka Hill,E.S. Gourlay,14/12/1953,14/12/1953,14,12,December,1953,14/December/1953,14/12/1953,,Pin,NZAC,no_data
NZAC04092823,NZAC04092823,Hymenoptera,Halictidae,Lasioglossum maunga,Lasioglossum maunga,"Lasioglossum (Austrevylaeus) maunga Donovan, 2007",Takaka Hill,E.S. Gourlay,14/12/1953,14/12/1953,14,12,December,1953,14/December/1953,14/12/1953,,Pin,NZAC,no_data
NZAC04105396,NZAC04105396,Hymenoptera,Halictidae,Lasioglossum maunga,Lasioglossum maunga,"Lasioglossum (Austrevylaeus) maunga Donovan, 2007",Dun Mt,A.R. Curtis,30/12/1953,30/12/1953,30,12,December,1953,30/December/1953,30/12/1953,,Pin,NZAC,no_data
NZAC04105548,NZAC04105548,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Bay of Islands, Kawakawa",R.A Cumber,27.01.1953,11.12.2780,27,1,January,1953,27/January/1953,27/01/1953,B.J. Donovan,Pin,NZAC,no_data
NZAC04098214,NZAC04098214,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",KawaKawa Plantain,R.A Cumber,27.01.1953,11.12.2781,27,1,January,1953,27/January/1953,27/01/1953,B.J. Donovan,Pin,NZAC,no_data
NZAC04098181,NZAC04098181,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Nelson,E.S. Gourlay,03.04.1953,3.04.53,3,4,April,1953,3/April/1953,3/04/1953,B.J. Donovan,Pin,NZAC,no_data
NZAC04098015,NZAC04098015,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Nelson,E.S. Gourlay,13.04.1953,11.12.2031,13,4,April,1953,13/April/1953,13/04/1953,B.J. Donovan,Pin,NZAC,no_data
NZAC04109288,NZAC04109288,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Nelson,E.S. Gourlay,13.04.1953,11.12.2032,13,4,April,1953,13/April/1953,13/04/1953,B.J. Donovan,Pin,NZAC,no_data
NZAC04105668,NZAC04105668,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Nelson,E.S. Gourlay,13.04.1953,11.12.2033,13,4,April,1953,13/April/1953,13/04/1953,B.J. Donovan,Pin,NZAC,no_data
NZAC04100332,NZAC04100332,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Nelson,E.S. Gourlay,13.04.1953,11.12.2034,13,4,April,1953,13/April/1953,13/04/1953,B.J. Donovan,Pin,NZAC,no_data
NZAC04104882,NZAC04104882,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Nelson,E.S. Gourlay,13.04.1953,11.12.2035,13,4,April,1953,13/April/1953,13/04/1953,B.J. Donovan,Pin,NZAC,no_data
NZAC04098217,NZAC04098217,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Nelson,E.S. Gourlay,13.04.1953,11.12.2036,13,4,April,1953,13/April/1953,13/04/1953,B.J. Donovan,Pin,NZAC,no_data
NZAC04109301,NZAC04109301,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Nelson,E.S. Gourlay,13.04.1953,11.12.2037,13,4,April,1953,13/April/1953,13/04/1953,B.J. Donovan,Pin,NZAC,no_data
NZAC04100025,NZAC04100025,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Nelson,E.S. Gourlay,13.04.1953,11.12.2038,13,4,April,1953,13/April/1953,13/04/1953,B.J. Donovan,Pin,NZAC,no_data
NZAC04092775,NZAC04092775,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Nelson,S.L. Wells,Dec-53,Dec-53,1,12,December,1953,1/December/1953,1/12/1953,B.J. Donovan,Pin,NZAC,no_data
NZAC04092829,NZAC04092829,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Nelson,S.L. Wells,Dec-53,Dec-53,1,12,December,1953,1/December/1953,1/12/1953,B.J. Donovan,Pin,NZAC,no_data
NZAC04093019,NZAC04093019,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Takaka Hill,E.S. Gourlay,14.12.1953,11.12.2151,14,12,December,1953,14/December/1953,14/12/1953,B.J. Donovan,Pin,NZAC,no_data
NZAC04093391,NZAC04093391,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Takaka Hill,E.S. Gourlay,14.12.1953,11.12.2152,14,12,December,1953,14/December/1953,14/12/1953,B.J. Donovan,Pin,NZAC,no_data
NZAC04099530,NZAC04099530,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Takaka Hill,E.S. Gourlay,14.12.1953,11.12.2153,14,12,December,1953,14/December/1953,14/12/1953,B.J. Donovan,Pin,NZAC,no_data
NZAC04104567,NZAC04104567,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Bay of Islands, Kawakawa",R.A. Cumber,27/01/1953,27/01/1953,27,1,January,1953,27/January/1953,27/01/1953,B.J. Donovan,Pin,NZAC,no_data
NZAC04104575,NZAC04104575,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Bay of Islands, Kawakawa",R.A. Cumber,27/01/1953,27/01/1953,27,1,January,1953,27/January/1953,27/01/1953,B.J. Donovan,Pin,NZAC,no_data
NZAC04104755,NZAC04104755,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Bay of Islands, Kawakawa",R.A. Cumber,27/01/1953,27/01/1953,27,1,January,1953,27/January/1953,27/01/1953,B.J. Donovan,Pin,NZAC,no_data
NZAC04105314,NZAC04105314,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Kawakawa,R.A. Cumber,27/01/1953,27/01/1953,27,1,January,1953,27/January/1953,27/01/1953,B.J. Donovan,Pin,NZAC,no_data
NZAC04105318,NZAC04105318,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Kawakawa,R.A. Cumber,27/01/1953,27/01/1953,27,1,January,1953,27/January/1953,27/01/1953,B.J. Donovan,Pin,NZAC,no_data
NZAC04105393,NZAC04105393,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Bay of Islands, Kawakawa",R.A. Cumber,27/01/1953,27/01/1953,27,1,January,1953,27/January/1953,27/01/1953,B.J. Donovan,Pin,NZAC,no_data
NZAC04104951,NZAC04104951,Hymenoptera,Colletidae,Leioproctus boltoni,Leioproctus boltoni,"Leioproctus (Leioproctus) boltoni Cockerell, 1904",Roding River,B.B. Given,9/12/1953,9/12/1953,9,12,December,1953,9/December/1953,9/12/1953,B.J. Donovan,Pin,NZAC,no_data
NZAC04100230,NZAC04100230,Hymenoptera,Apidae,Bombus hortorum,Bombus  hortorum ,"Bombus (Megabombus) hortorum (Linnaeus, 1761)",Winchester  ,L Gurr,10.10.54,10.10.54,10,10,October,1954,10/October/1954,10/10/1954,,Pin,NZAC,no_data
NZAC04100402,NZAC04100402,Hymenoptera,Apidae,Bombus hortorum,Bombus  hortorum ,"Bombus (Megabombus) hortorum (Linnaeus, 1761)",Winchester  ,L Gurr,10.10.54,10.10.54,10,10,October,1954,10/October/1954,10/10/1954,,Pin,NZAC,no_data
NZAC04094595,NZAC04094595,Hymenoptera,Apidae,Bombus hortorum,Bombus  hortorum ,"Bombus (Megabombus) hortorum (Linnaeus, 1761)",Windsor Downs,L Gurr,11.10.54,11.10.54,11,10,October,1954,11/October/1954,11/10/1954,,Pin,NZAC,no_data
NZAC04092583,NZAC04092583,Hymenoptera,Apidae,Bombus hortorum,Bombus ) ruderatus (Fabricius),"Bombus (Megabombus) ruderatus (Fabricius, 1775)","Nelson, The Glen   ",L Gurr,28.9.54,11.12.2827,28,9,September,1954,28/September/1954,28/09/1954,,Pin,NZAC,no_data
NZAC04100163,NZAC04100163,Hymenoptera,Apidae,Bombus hortorum,Bombus ) ruderatus (Fabricius),"Bombus (Megabombus) ruderatus (Fabricius, 1775)",Havelock   ,L Gurr,30.9.54,11.12.2883,30,9,September,1954,30/September/1954,30/09/1954,,Pin,NZAC,no_data
NZAC04104750,NZAC04104750,Hymenoptera,Apidae,Bombus ruderatus,Bombus  ruderatus (Fabricius),"Bombus (Megabombus) ruderatus (Fabricius, 1775)","Nelson, The Glen   ",L Gurr,28.9.54,11.12.2823,28,9,September,1954,28/September/1954,28/09/1954,,Pin,NZAC,no_data
NZAC04105192,NZAC04105192,Hymenoptera,Apidae,Bombus ruderatus,Bombus  ruderatus (Fabricius),"Bombus (Megabombus) ruderatus (Fabricius, 1775)","Nelson, The Glen   ",L Gurr,28.9.54,11.12.2824,28,9,September,1954,28/September/1954,28/09/1954,,Pin,NZAC,no_data
NZAC04105412,NZAC04105412,Hymenoptera,Apidae,Bombus ruderatus,Bombus  ruderatus (Fabricius),"Bombus (Megabombus) ruderatus (Fabricius, 1775)","Nelson, The Glen   ",L Gurr,28.9.54,11.12.2825,28,9,September,1954,28/September/1954,28/09/1954,,Pin,NZAC,no_data
NZAC04099222,NZAC04099222,Hymenoptera,Apidae,Bombus ruderatus,Bombus  ruderatus (Fabricius),"Bombus (Megabombus) ruderatus (Fabricius, 1775)","Nelson, The Glen   ",L Gurr,28.9.54,11.12.2826,28,9,September,1954,28/September/1954,28/09/1954,,Pin,NZAC,no_data
NZAC04070053,NZAC04070053,Hymenoptera,Apidae,Bombus ruderatus,Bombus  ruderatus (Fabricius),"Bombus (Megabombus) ruderatus (Fabricius, 1775)",Rocky Creek,L Gurr,30.9.54,11.12.2875,30,9,September,1954,30/September/1954,30/09/1954,,Pin,NZAC,no_data
NZAC04093471,NZAC04093471,Hymenoptera,Apidae,Bombus ruderatus,Bombus  ruderatus (Fabricius),"Bombus (Megabombus) ruderatus (Fabricius, 1775)",Havelock   ,L Gurr,30.9.54,11.12.2876,30,9,September,1954,30/September/1954,30/09/1954,,Pin,NZAC,no_data
NZAC04099438,NZAC04099438,Hymenoptera,Apidae,Bombus ruderatus,Bombus  ruderatus (Fabricius),"Bombus (Megabombus) ruderatus (Fabricius, 1775)",Rocky Creek,L Gurr,30.9.54,11.12.2877,30,9,September,1954,30/September/1954,30/09/1954,,Pin,NZAC,no_data
NZAC04104712,NZAC04104712,Hymenoptera,Apidae,Bombus ruderatus,Bombus  ruderatus (Fabricius),"Bombus (Megabombus) ruderatus (Fabricius, 1775)",Havelock   ,L Gurr,30.9.54,11.12.2878,30,9,September,1954,30/September/1954,30/09/1954,,Pin,NZAC,no_data
NZAC04100318,NZAC04100318,Hymenoptera,Apidae,Bombus ruderatus,Bombus  ruderatus (Fabricius),"Bombus (Megabombus) ruderatus (Fabricius, 1775)",Havelock   ,L Gurr,30.9.54,11.12.2879,30,9,September,1954,30/September/1954,30/09/1954,,Pin,NZAC,no_data
NZAC04099676,NZAC04099676,Hymenoptera,Apidae,Bombus ruderatus,Bombus  ruderatus (Fabricius),"Bombus (Megabombus) ruderatus (Fabricius, 1775)",Rocky Creek,L Gurr,30.9.54,11.12.2880,30,9,September,1954,30/September/1954,30/09/1954,,Pin,NZAC,no_data
NZAC04099160,NZAC04099160,Hymenoptera,Apidae,Bombus ruderatus,Bombus  ruderatus (Fabricius),"Bombus (Megabombus) ruderatus (Fabricius, 1775)",Rocky Creek,L Gurr,30.9.54,11.12.2881,30,9,September,1954,30/September/1954,30/09/1954,,Pin,NZAC,no_data
NZAC04100343,NZAC04100343,Hymenoptera,Apidae,Bombus ruderatus,Bombus  ruderatus (Fabricius),"Bombus (Megabombus) ruderatus (Fabricius, 1775)",Rocky Creek,L Gurr,30.9.54,11.12.2882,30,9,September,1954,30/September/1954,30/09/1954,,Pin,NZAC,no_data
NZAC04099544,NZAC04099544,Hymenoptera,Apidae,Bombus ruderatus,Bombus  ruderatus (Fabricius),"Bombus (Megabombus) ruderatus (Fabricius, 1775)",Courtney,L Gurr,8.10.54,11.12.2930,8,10,October,1954,8/October/1954,8/10/1954,,Pin,NZAC,no_data
NZAC04100486,NZAC04100486,Hymenoptera,Apidae,Bombus ruderatus,Bombus  ruderatus (Fabricius),"Bombus (Megabombus) ruderatus (Fabricius, 1775)",Darfield,L Gurr,8.10.54,11.12.2931,8,10,October,1954,8/October/1954,8/10/1954,,Pin,NZAC,no_data
NZAC04100210,NZAC04100210,Hymenoptera,Apidae,Bombus ruderatus,Bombus  ruderatus (Fabricius),"Bombus (Megabombus) ruderatus (Fabricius, 1775)",Darfield,L Gurr,8.10.54,11.12.2932,8,10,October,1954,8/October/1954,8/10/1954,,Pin,NZAC,no_data
NZAC04098994,NZAC04098994,Hymenoptera,Apidae,Bombus ruderatus,Bombus  ruderatus (Fabricius),"Bombus (Megabombus) ruderatus (Fabricius, 1775)",Darfield,L Gurr,8.10.54,11.12.2933,8,10,October,1954,8/October/1954,8/10/1954,,Pin,NZAC,no_data
NZAC04099998,NZAC04099998,Hymenoptera,Apidae,Bombus ruderatus,Bombus  ruderatus (Fabricius),"Bombus (Megabombus) ruderatus (Fabricius, 1775)",Darfield,L Gurr,8.10.54,11.12.2934,8,10,October,1954,8/October/1954,8/10/1954,,Pin,NZAC,no_data
NZAC04100121,NZAC04100121,Hymenoptera,Apidae,Bombus ruderatus,Bombus  ruderatus (Fabricius),"Bombus (Megabombus) ruderatus (Fabricius, 1775)",Courtenay,L Gurr,8.10.54,11.12.2935,8,10,October,1954,8/October/1954,8/10/1954,,Pin,NZAC,no_data
NZAC04070108,NZAC04070108,Hymenoptera,Apidae,Bombus ruderatus,Bombus  ruderatus (Fabricius),"Bombus (Megabombus) ruderatus (Fabricius, 1775)",Winchester  ,L Gurr,10.10.54,10.10.54,10,10,October,1954,10/October/1954,10/10/1954,,Pin,NZAC,no_data
NZAC04100619,NZAC04100619,Hymenoptera,Apidae,Bombus ruderatus,Bombus  ruderatus (Fabricius),"Bombus (Megabombus) ruderatus (Fabricius, 1775)",Winchester  ,L Gurr,10.10.54,10.10.54,10,10,October,1954,10/October/1954,10/10/1954,,Pin,NZAC,no_data
NZAC04100359,NZAC04100359,Hymenoptera,Apidae,Bombus ruderatus,Bombus  ruderatus (Fabricius),"Bombus (Megabombus) ruderatus (Fabricius, 1775)",Weld Pass,L Gurr,17.11.54,11.12.2386,17,11,November,1954,17/November/1954,17/11/1954,,Pin,NZAC,no_data
NZAC04105598,NZAC04105598,Hymenoptera,Apidae,Bombus ruderatus,Bombus  ruderatus (Fabricius),"Bombus (Megabombus) ruderatus (Fabricius, 1775)",Rocky Creek,L Gurr,17.11.54,11.12.2387,17,11,November,1954,17/November/1954,17/11/1954,,Pin,NZAC,no_data
NZAC04100366,NZAC04100366,Hymenoptera,Apidae,Bombus ruderatus,Bombus ruderatus,"Bombus (Megabombus) ruderatus (Fabricius, 1775)","Auckland, Mt Albert",A. Ovek de Londen,4/12/1954,4/12/1954,4,12,December,1954,4/December/1954,4/12/1954,,Pin,NZAC,no_data
NZAC04070614,NZAC04070614,Hymenoptera,Apidae,Bombus ruderatus,Bombus ruderatus (Fabricius),"Bombus (Megabombus) ruderatus (Fabricius, 1775)","Nelson, The Glen   ",L Gurr,28.9.54,11.12.2828,28,9,September,1954,28/September/1954,28/09/1954,,Pin,NZAC,no_data
NZAC04070343,NZAC04070343,Hymenoptera,Apidae,Bombus ruderatus,Bombus ruderatus (Fabricius),"Bombus (Megabombus) ruderatus (Fabricius, 1775)","Nelson, The Glen   ",L Gurr,28.9.54,11.12.2829,28,9,September,1954,28/September/1954,28/09/1954,,Pin,NZAC,no_data
NZAC04100427,NZAC04100427,Hymenoptera,Apidae,Bombus ruderatus,Bombus ruderatus (Fabricius),"Bombus (Megabombus) ruderatus (Fabricius, 1775)",Wairau Valley,L Gurr,30.9.54,11.12.2884,30,9,September,1954,30/September/1954,30/09/1954,,Pin,NZAC,no_data
NZAC04100394,NZAC04100394,Hymenoptera,Apidae,Bombus ruderatus,Bombus ruderatus (Fabricius),"Bombus (Megabombus) ruderatus (Fabricius, 1775)",Rocky Creek,L Gurr,30.9.54,11.12.2885,30,9,September,1954,30/September/1954,30/09/1954,,Pin,NZAC,no_data
NZAC04099883,NZAC04099883,Hymenoptera,Apidae,Bombus ruderatus,Bombus ruderatus (Fabricius),"Bombus (Megabombus) ruderatus (Fabricius, 1775)",Havelock   ,L Gurr,30.9.54,11.12.2886,30,9,September,1954,30/September/1954,30/09/1954,,Pin,NZAC,no_data
NZAC04099226,NZAC04099226,Hymenoptera,Apidae,Bombus ruderatus,Bombus ruderatus (Fabricius),"Bombus (Megabombus) ruderatus (Fabricius, 1775)",Grassmere  ,L Gurr,17.11.54,11.12.2389,17,11,November,1954,17/November/1954,17/11/1954,,Pin,NZAC,no_data
NZAC04104666,NZAC04104666,Hymenoptera,Apidae,Bombus ruderatus,Bombus ruderatus (Fabricius),"Bombus (Megabombus) ruderatus (Fabricius, 1775)",Grassmere  ,L Gurr,17.11.54,11.12.2390,17,11,November,1954,17/November/1954,17/11/1954,,Pin,NZAC,no_data
NZAC04104749,NZAC04104749,Hymenoptera,Apidae,Bombus ruderatus,Bombus ruderatus (Fabricius),"Bombus (Megabombus) ruderatus (Fabricius, 1775)",Grassmere ,L Gurr,17.11.54,11.12.2391,17,11,November,1954,17/November/1954,17/11/1954,,Pin,NZAC,no_data
NZAC04070346,NZAC04070346,Hymenoptera,Apidae,Bombus ruderatus,Bombus ruderatus (Fabricius),"Bombus (Megabombus) ruderatus (Fabricius, 1775)",Rocky Creek,L Gurr,17.11.54,11.12.2392,17,11,November,1954,17/November/1954,17/11/1954,,Pin,NZAC,no_data
NZAC04105220,NZAC04105220,Hymenoptera,Apidae,Bombus terrestris,Bombus (Bombus) terrestris (Linnaeus),"Bombus (Bombus) terrestris (Linnaeus, 1758)",Darfield,L. Gurr,8.10.54,11.12.2936,8,10,October,1954,8/October/1954,8/10/1954,,Pin,NZAC,no_data
NZAC04099862,NZAC04099862,Hymenoptera,Apidae,Bombus terrestris,Bombus (Bombus) terrestris (Linnaeus),"Bombus (Bombus) terrestris (Linnaeus, 1758)",Winchester  ,L. Gurr,"10.10,54",10.10.54,10,10,October,1954,10/October/1954,10/10/1954,,Pin,NZAC,no_data
NZAC04100886,NZAC04100886,Hymenoptera,Apidae,Bombus terrestris,Bombus (Bombus) terrestris (Linnaeus),"Bombus (Bombus) terrestris (Linnaeus, 1758)",Winchester  ,L. Gurr,"10.10,54",10.10.54,10,10,October,1954,10/October/1954,10/10/1954,,Pin,NZAC,no_data
NZAC04100816,NZAC04100816,Hymenoptera,Apidae,Bombus terrestris,Bombus (Bombus) terrestris (Linnaeus),"Bombus (Bombus) terrestris (Linnaeus, 1758)",Winchester  ,L. Gurr,"10.10,54",10.10.54,10,10,October,1954,10/October/1954,10/10/1954,,Pin,NZAC,no_data
NZAC04100323,NZAC04100323,Hymenoptera,Apidae,Bombus terrestris,Bombus (Bombus) terrestris (Linnaeus),"Bombus (Bombus) terrestris (Linnaeus, 1758)",Timaru Gardens,L. Gurr,10.10.54,10.10.54,10,10,October,1954,10/October/1954,10/10/1954,,Pin,NZAC,no_data
NZAC04100035,NZAC04100035,Hymenoptera,Apidae,Bombus terrestris,Bombus (Bombus) terrestris (Linnaeus),"Bombus (Bombus) terrestris (Linnaeus, 1758)",Winchester  ,L. Gurr,10.10.54,10.10.54,10,10,October,1954,10/October/1954,10/10/1954,,Pin,NZAC,no_data
NZAC04099246,NZAC04099246,Hymenoptera,Apidae,Bombus terrestris,Bombus (Bombus) terrestris (Linnaeus),"Bombus (Bombus) terrestris (Linnaeus, 1758)",Waimate,L. Gurr,10.10.54,10.10.54,10,10,October,1954,10/October/1954,10/10/1954,,Pin,NZAC,no_data
NZAC04100207,NZAC04100207,Hymenoptera,Apidae,Bombus terrestris,Bombus (Bombus) terrestris (Linnaeus),"Bombus (Bombus) terrestris (Linnaeus, 1758)",Waimate,L. Gurr,10.10.54,10.10.54,10,10,October,1954,10/October/1954,10/10/1954,,Pin,NZAC,no_data
NZAC04094567,NZAC04094567,Hymenoptera,Apidae,Bombus terrestris,Bombus (Bombus) terrestris (Linnaeus),"Bombus (Bombus) terrestris (Linnaeus, 1758)",Winchester  ,L. Gurr,10.10.54,10.10.54,10,10,October,1954,10/October/1954,10/10/1954,,Pin,NZAC,no_data
NZAC04093086,NZAC04093086,Hymenoptera,Apidae,Bombus terrestris,Bombus (Bombus) terrestris (Linnaeus),"Bombus (Bombus) terrestris (Linnaeus, 1758)",Windsor Downs,L. Gurr,11.10.54,11.10.54,11,10,October,1954,11/October/1954,11/10/1954,,Pin,NZAC,no_data
NZAC04092736,NZAC04092736,Hymenoptera,Apidae,Bombus terrestris,Bombus (Bombus) terrestris (Linnaeus),"Bombus (Bombus) terrestris (Linnaeus, 1758)",Windsor Downs,L. Gurr,11.10.54,11.10.54,11,10,October,1954,11/October/1954,11/10/1954,,Pin,NZAC,no_data
NZAC04092647,NZAC04092647,Hymenoptera,Apidae,Bombus terrestris,Bombus (Bombus) terrestris (Linnaeus),"Bombus (Bombus) terrestris (Linnaeus, 1758)",Windsor Downs,L. Gurr,11.10.54,11.10.54,11,10,October,1954,11/October/1954,11/10/1954,,Pin,NZAC,no_data
NZAC04092870,NZAC04092870,Hymenoptera,Apidae,Bombus terrestris,Bombus (Bombus) terrestris (Linnaeus),"Bombus (Bombus) terrestris (Linnaeus, 1758)",Windsor Downs,L. Gurr,11.10.54,11.10.54,11,10,October,1954,11/October/1954,11/10/1954,,Pin,NZAC,no_data
NZAC04093511,NZAC04093511,Hymenoptera,Apidae,Bombus terrestris,Bombus (Bombus) terrestris (Linnaeus),"Bombus (Bombus) terrestris (Linnaeus, 1758)",Windsor Downs,L. Gurr,11.10.54,11.10.54,11,10,October,1954,11/October/1954,11/10/1954,,Pin,NZAC,no_data
NZAC04093110,NZAC04093110,Hymenoptera,Apidae,Bombus terrestris,Bombus (Bombus) terrestris (Linnaeus),"Bombus (Bombus) terrestris (Linnaeus, 1758)",Windsor Downs,L Gurr,11.10.54,11.10.54,11,10,October,1954,11/October/1954,11/10/1954,,Pin,NZAC,no_data
NZAC04092585,NZAC04092585,Hymenoptera,Apidae,Bombus terrestris,Bombus (Bombus) terrestris (Linnaeus),"Bombus (Bombus) terrestris (Linnaeus, 1758)",Windsor Downs,L. Gurr,11.10.54,11.10.54,11,10,October,1954,11/October/1954,11/10/1954,,Pin,NZAC,no_data
NZAC04032581,NZAC04032581,Hymenoptera,Apidae,Bombus terrestris,Bombus (Bombus) terrestris (Linnaeus),"Bombus (Bombus) terrestris (Linnaeus, 1758)",Windsor Downs,L Gurr,11.10.54,11.10.54,11,10,October,1954,11/October/1954,11/10/1954,,Pin,NZAC,no_data
NZAC04094349,NZAC04094349,Hymenoptera,Apidae,Bombus terrestris,Bombus (Bombus) terrestris (Linnaeus),"Bombus (Bombus) terrestris (Linnaeus, 1758)",Brook Street,L. Gurr,20.10.54,11.12.2536,20,10,October,1954,20/October/1954,20/10/1954,,Pin,NZAC,no_data
NZAC04100524,NZAC04100524,Hymenoptera,Apidae,Bombus terrestris,Bombus (Bombus) terrestris (Linnaeus),"Bombus (Bombus) terrestris (Linnaeus, 1758)",Brook Street,L. Gurr,20.10.54,11.12.2537,20,10,October,1954,20/October/1954,20/10/1954,,Pin,NZAC,no_data
NZAC04100138,NZAC04100138,Hymenoptera,Apidae,Bombus terrestris,Bombus (Bombus) terrestris (Linnaeus),"Bombus (Bombus) terrestris (Linnaeus, 1758)",Brook Street,L. Gurr,20.10.54,11.12.2538,20,10,October,1954,20/October/1954,20/10/1954,,Pin,NZAC,no_data
NZAC04099398,NZAC04099398,Hymenoptera,Apidae,Bombus terrestris,Bombus (Bombus) terrestris (Linnaeus),"Bombus (Bombus) terrestris (Linnaeus, 1758)",Rocky Creek,L. Gurr,17.11.54,11.12.2388,17,11,November,1954,17/November/1954,17/11/1954,,Pin,NZAC,no_data
NZAC04100052,NZAC04100052,Hymenoptera,Apidae,Bombus terrestris,Bombus terrestris,"Bombus (Bombus) terrestris (Linnaeus, 1758)",Darfield,L. Gurr,8/10/1954,8/10/1954,8,10,October,1954,8/October/1954,8/10/1954,,Pin,NZAC,no_data
NZAC04099034,NZAC04099034,Hymenoptera,Apidae,Bombus terrestris,Bombus terrestris,"Bombus (Bombus) terrestris (Linnaeus, 1758)",Darfield,L. Gurr,8/10/1954,8/10/1954,8,10,October,1954,8/October/1954,8/10/1954,,Pin,NZAC,no_data
NZAC04099067,NZAC04099067,Hymenoptera,Apidae,Bombus terrestris,Bombus terrestris,"Bombus (Bombus) terrestris (Linnaeus, 1758)",Darfield,L. Gurr,8/10/1954,8/10/1954,8,10,October,1954,8/October/1954,8/10/1954,,Pin,NZAC,no_data
NZAC04099238,NZAC04099238,Hymenoptera,Apidae,Bombus terrestris,Bombus terrestris,"Bombus (Bombus) terrestris (Linnaeus, 1758)",Darfield,L. Gurr,8/10/1954,8/10/1954,8,10,October,1954,8/October/1954,8/10/1954,,Pin,NZAC,no_data
NZAC04099090,NZAC04099090,Hymenoptera,Apidae,Bombus terrestris,Bombus terrestris,"Bombus (Bombus) terrestris (Linnaeus, 1758)",Darfield,L. Gurr,8/10/1954,8/10/1954,8,10,October,1954,8/October/1954,8/10/1954,,Pin,NZAC,no_data
