genus,species,region,locality,sex,date_origional,day,month_chr,month,year,date,date_chr,ecology,method,collector,collection,value
Leioproctus,Leioproctus pango,RI,"Parahaki, Potahaki",m,20-Jan-72,20,January,1,1972,20/01/1972,20/January/1972,Clay bank,sweep,AC Harris,Otago Museum,1
Lasioglossum,Lasioglossum maunga,WN,"Renata, Tararua Ra.",m,28-Jan-72,28,January,1,1972,28/01/1972,28/January/1972,Sandy clearing in Nothofagus,sweep,AC Harris,Otago Museum,1
Hylaeus,Hylaeus agilis,WN,"Southern Tararua, Renata hut",f,17-Feb-72,17,February,2,1972,17/02/1972,17/February/1972,,no_data,AC Harris,Otago Museum,1
Leioproctus,Leioproctus fulvescens,CO,Abelisk track,f,23-Mar-72,23,March,3,1972,23/03/1972,23/March/1972,Dirt track (no vegetation) 4100',sweep,AC Harris,Otago,1
Leioproctus,Leioproctus maritimus,CO,"Obelisk Range, Central Otago",f,23-Mar-72,23,March,3,1972,23/03/1972,23/March/1972,"Dirt track(no veg.) 1230m, 4100'",sweep,AC Harris,Otago,1
Leioproctus,Leioproctus imitatus,ND,"Whangarei, Porohaki",m,20-Nov-72,20,November,11,1972,20/11/1972,20/November/1972,Clay bank,sweep,AC Harris,Otago Museum,1
Lasioglossum,Lasioglossum cognatum,ND,Northland Co. Spirits Bay,f,9-Dec-72,9,December,12,1972,9/12/1972,9/December/1972,,no_data,AC Harris,NA,1
Leioproctus,Leioproctus imitatus,ND,"Spirits Bay, Northland",m,9-Dec-72,9,December,12,1972,9/12/1972,9/December/1972,,no_data,AC Harris,Otago Museum,1
Leioproctus,Leioproctus imitatus,ND,Spirits Bay,f,17-Dec-72,17,December,12,1972,17/12/1972,17/December/1972,,no_data,AC Harris,BJD,1
Hylaeus,Hylaeus agilis,SC,"Geraldine Co, Mt Peet Motor Camp",f,3-Jan-73,3,January,1,1973,3/01/1973,3/January/1973,,no_data,AC Harris,Ent L,1
Lasioglossum,Lasioglossum sordidum,SC,"Mills Bush, Peel Forest",m,3-Jan-73,3,January,1,1973,3/01/1973,3/January/1973,,no_data,AC Harris,Otago,1
Lasioglossum,Lasioglossum sordidum,SC,"Mills Bush, Peel Forest",m,3-Jan-73,3,January,1,1973,3/01/1973,3/January/1973,,no_data,AC Harris,Otago,1
Lasioglossum,Lasioglossum sordidum,SC,"Mills Bush, Peel Forest",m,3-Jan-73,3,January,1,1973,3/01/1973,3/January/1973,,no_data,AC Harris,Otago,1
Lasioglossum,Lasioglossum sordidum,SC,Mt Peel Motor Camp,f,3-Jan-73,3,January,1,1973,3/01/1973,3/January/1973,,no_data,AC Harris,NA,1
Lasioglossum,Lasioglossum sordidum,SC,Mt Peel Motorcamp,f,3-Jan-73,3,January,1,1973,3/01/1973,3/January/1973,,no_data,AC Harris,NA,1
Lasioglossum,Lasioglossum sordidum,SC,Mt Peel Motorcamp,f,3-Jan-73,3,January,1,1973,3/01/1973,3/January/1973,,no_data,AC Harris,NA,1
Leioproctus,Leioproctus fulvescens,SC,"Mills Bush, Peel Forest",f,3-Jan-73,3,January,1,1973,3/01/1973,3/January/1973,,no_data,AC Harris,Otago,1
Leioproctus,Leioproctus fulvescens,SC,"Geraldine Co, Mt Peel",f,3-Jan-73,3,January,1,1973,3/01/1973,3/January/1973,Motor camp,sweep,AC Harris,Ent L,1
Leioproctus,Leioproctus fulvescens,SC,"Geraldine Co, Mt Peel",f,3-Jan-73,3,January,1,1973,3/01/1973,3/January/1973,Motor camp,sweep,AC Harris,Ent L,1
Leioproctus,Leioproctus vestitus,SC,"Mt Peel, motor camp",f,3-Jan-73,3,January,1,1973,3/01/1973,3/January/1973,,no_data,AC Harris,BJD,1
Lasioglossum,Lasioglossum sordidum,WN,"Botanical Gardens, Wellington",f,21-Oct-73,21,October,10,1973,21/10/1973,21/October/1973,,no_data,AC Harris,Otago,1
Lasioglossum,Lasioglossum sordidum,WN,"Botanical Gardens, Wellington",f,21-Oct-73,21,October,10,1973,21/10/1973,21/October/1973,,no_data,AC Harris,Otago,1
Lasioglossum,Lasioglossum sordidum,WN,"Botanical Gardens, Wellington",f,20-Nov-73,20,November,11,1973,20/11/1973,20/November/1973,,no_data,AC Harris,Otago,1
Lasioglossum,Lasioglossum sordidum,WN,"Botanical Gardens, Wellington",f,20-Nov-73,20,November,11,1973,20/11/1973,20/November/1973,,no_data,AC Harris,Otago,1
Lasioglossum,Lasioglossum sordidum,WN,Akatarawa Saddle,f,26-Nov-73,26,November,11,1973,26/11/1973,26/November/1973,,no_data,AC Harris,Otago Museum,1
Lasioglossum,Lasioglossum sordidum,WN,Akatarawa Saddle,f,26-Nov-73,26,November,11,1973,26/11/1973,26/November/1973,,no_data,AC Harris,Otago Museum,1
