genus,species,region,locality,sex,date_origional,day,month_chr,month,year,date,date_chr,ecology,method,collector,collection,value
Hylaeus,Hylaeus perhumilis,MC,McQueens Valley,f,10-Mar-78,10,March,3,1978,10/03/1978,10/March/1978,"Hybrid gum, Eucalyptus regnans/piperitales",sweep,"A Finnegan, BJ Donovan",BJD,1
Hylaeus,Hylaeus perhumilis,MC,McQueens Valley,f,10-Mar-78,10,March,3,1978,10/03/1978,10/March/1978,"Hybrid gum, Eucalyptus regnans/piperitales",sweep,"A Finnegan, BJ Donovan",BJD,1
Hylaeus,Hylaeus perhumilis,MC,McQueens Valley,f,10-Mar-78,10,March,3,1978,10/03/1978,10/March/1978,"Hybrid gum, Eucalyptus regnans/piperitales",sweep,"A Finnegan, BJ Donovan",BJD,1
Hylaeus,Hylaeus perhumilis,MC,McQueens Valley,f,10-Mar-78,10,March,3,1978,10/03/1978,10/March/1978,"Hybrid gum, Eucalyptus regnans/piperitales",sweep,"A Finnegan, BJ Donovan",BJD,1
Lasioglossum,Lasioglossum sordidum,NN,Richmond,m,1-Mar-80,1,March,3,1980,1/03/1980,1/March/1980,In bee nests,sweep,A Hastwell,NA,1
Lasioglossum,Lasioglossum sordidum,NN,Richmond,m,1-Mar-80,1,March,3,1980,1/03/1980,1/March/1980,In bee nests,sweep,A Hastwell,NA,1
Lasioglossum,Lasioglossum sordidum,,"Oamaru, 28 Dee St.",f,12-Oct-84,12,October,10,1984,12/10/1984,12/October/1984,Swarming,sweep,A Hilliker,MAF Lincoln,1
Lasioglossum,Lasioglossum sordidum,,"Oamaru, 28 Dee St.",f,12-Oct-84,12,October,10,1984,12/10/1984,12/October/1984,Swarming,sweep,A Hilliker,MAF Lincoln,1
NA,Hyleoides concinna,GB,Gisborne,m,27-May-85,27,May,5,1985,27/05/1985,27/May/1985,Ex house ?,sweep,A Jenson,PANZ Lynfield,1
NA,Hyleoides concinna,AK,"Auckland, Green Bay",f,28-Feb-96,28,February,2,1996,28/02/1996,28/February/1996,,no_data,A Julian,PANZ Lynfield,1
Lasioglossum,Lasioglossum maunga,NN,Dun Mt.,f,15-Nov-20,15,November,11,1920,15/11/1920,15/November/1920,2000',sweep,A Philpott,NZAC,1
Hylaeus,Hylaeus agilis,NN,Dun Mt,f,27-Jan-21,27,January,1,1921,27/01/1921,27/January/1921,"3000', 900m",sweep,A Philpott,Ent A,1
